date,trend,inventory_count,trend_count,trend_frequency,is_active
2024-02,basics,46,10,0.21739130434782608,True
2024-02,mob_wife,46,0,0.0,False
2024-02,office_siren,46,1,0.021739130434782608,False
2024-02,quiet_luxury,46,26,0.5652173913043478,True
2024-02,unknown,46,9,0.1956521739130435,True
2024-03,basics,54,28,0.5185185185185185,True
2024-03,mob_wife,54,0,0.0,False
2024-03,office_siren,54,1,0.018518518518518517,False
2024-03,quiet_luxury,54,13,0.24074074074074073,True
2024-03,unknown,54,12,0.2222222222222222,True
2024-04,basics,58,23,0.39655172413793105,True
2024-04,mob_wife,58,1,0.017241379310344827,False
2024-04,office_siren,58,0,0.0,False
2024-04,quiet_luxury,58,17,0.29310344827586204,True
2024-04,unknown,58,17,0.29310344827586204,True
2024-05,basics,77,15,0.19480519480519481,True
2024-05,mob_wife,77,4,0.05194805194805195,True
2024-05,office_siren,77,0,0.0,False
2024-05,quiet_luxury,77,25,0.3246753246753247,True
2024-05,unknown,77,33,0.42857142857142855,True
2024-06,basics,128,40,0.3125,True
2024-06,mob_wife,128,5,0.0390625,False
2024-06,office_siren,128,3,0.0234375,False
2024-06,quiet_luxury,128,49,0.3828125,True
2024-06,unknown,128,31,0.2421875,True
2024-07,basics,117,37,0.3162393162393162,True
2024-07,mob_wife,117,0,0.0,False
2024-07,office_siren,117,2,0.017094017094017096,False
2024-07,quiet_luxury,117,49,0.4188034188034188,True
2024-07,unknown,117,29,0.24786324786324787,True
2024-08,basics,71,16,0.22535211267605634,True
2024-08,mob_wife,71,4,0.056338028169014086,True
2024-08,office_siren,71,1,0.014084507042253521,False
2024-08,quiet_luxury,71,26,0.36619718309859156,True
2024-08,unknown,71,24,0.3380281690140845,True
2024-09,basics,116,37,0.31896551724137934,True
2024-09,mob_wife,116,1,0.008620689655172414,False
2024-09,office_siren,116,0,0.0,False
2024-09,quiet_luxury,116,59,0.5086206896551724,True
2024-09,unknown,116,19,0.16379310344827586,True
2024-10,basics,120,43,0.35833333333333334,True
2024-10,mob_wife,120,10,0.08333333333333333,True
2024-10,office_siren,120,1,0.008333333333333333,False
2024-10,quiet_luxury,120,51,0.425,True
2024-10,unknown,120,15,0.125,True
2024-11,basics,113,21,0.18584070796460178,True
2024-11,mob_wife,113,19,0.168141592920354,True
2024-11,office_siren,113,2,0.017699115044247787,False
2024-11,quiet_luxury,113,45,0.39823008849557523,True
2024-11,unknown,113,26,0.23008849557522124,True
2024-12,basics,89,12,0.1348314606741573,True
2024-12,mob_wife,89,12,0.1348314606741573,True
2024-12,office_siren,89,1,0.011235955056179775,False
2024-12,quiet_luxury,89,41,0.4606741573033708,True
2024-12,unknown,89,23,0.25842696629213485,True
2025-01,basics,120,32,0.26666666666666666,True
2025-01,mob_wife,120,9,0.075,True
2025-01,office_siren,120,2,0.016666666666666666,False
2025-01,quiet_luxury,120,61,0.5083333333333333,True
2025-01,unknown,120,16,0.13333333333333333,True
2025-02,basics,103,14,0.13592233009708737,True
2025-02,mob_wife,103,3,0.02912621359223301,False
2025-02,office_siren,103,0,0.0,False
2025-02,quiet_luxury,103,23,0.22330097087378642,True
2025-02,unknown,103,63,0.6116504854368932,True
2025-03,basics,152,35,0.23026315789473684,True
2025-03,mob_wife,152,5,0.03289473684210526,False
2025-03,office_siren,152,0,0.0,False
2025-03,quiet_luxury,152,47,0.3092105263157895,True
2025-03,unknown,152,65,0.4276315789473684,True
2025-04,basics,75,11,0.14666666666666667,True
2025-04,mob_wife,75,1,0.013333333333333334,False
2025-04,office_siren,75,2,0.02666666666666667,False
2025-04,quiet_luxury,75,32,0.4266666666666667,True
2025-04,unknown,75,29,0.38666666666666666,True
2025-05,basics,95,13,0.1368421052631579,True
2025-05,mob_wife,95,2,0.021052631578947368,False
2025-05,office_siren,95,5,0.05263157894736842,True
2025-05,quiet_luxury,95,35,0.3684210526315789,True
2025-05,unknown,95,40,0.42105263157894735,True
2025-06,basics,83,7,0.08433734939759036,True
2025-06,mob_wife,83,2,0.024096385542168676,False
2025-06,office_siren,83,1,0.012048192771084338,False
2025-06,quiet_luxury,83,34,0.40963855421686746,True
2025-06,unknown,83,39,0.46987951807228917,True
2025-07,basics,120,15,0.125,True
2025-07,mob_wife,120,3,0.025,False
2025-07,office_siren,120,2,0.016666666666666666,False
2025-07,quiet_luxury,120,59,0.49166666666666664,True
2025-07,unknown,120,41,0.3416666666666667,True
2025-08,basics,57,13,0.22807017543859648,True
2025-08,mob_wife,57,7,0.12280701754385964,True
2025-08,office_siren,57,1,0.017543859649122806,False
2025-08,quiet_luxury,57,13,0.22807017543859648,True
2025-08,unknown,57,23,0.40350877192982454,True
2025-09,basics,70,18,0.2571428571428571,True
2025-09,mob_wife,70,13,0.18571428571428572,True
2025-09,office_siren,70,3,0.04285714285714286,False
2025-09,quiet_luxury,70,28,0.4,True
2025-09,unknown,70,8,0.11428571428571428,True
2025-11,basics,62,10,0.16129032258064516,True
2025-11,mob_wife,62,4,0.06451612903225806,True
2025-11,office_siren,62,0,0.0,False
2025-11,quiet_luxury,62,13,0.20967741935483872,True
2025-11,unknown,62,35,0.5645161290322581,True
2025-12,basics,61,12,0.19672131147540983,True
2025-12,mob_wife,61,7,0.11475409836065574,True
2025-12,office_siren,61,1,0.01639344262295082,False
2025-12,quiet_luxury,61,22,0.36065573770491804,True
